sentence,label
"""난 너를 주기고 싶다. 2년아.""",Profanity
"""그래 c발 여성있는집 수사못하게 법만들자 개판가가보자""",Profanity
알차게했겠네 부럽다 ㅅㅂ....,Profanity
저년들 한명씩 순번매겨서 탑방궁들여보내줘라,Profanity
"""저게 바로 조선의 일부 미개한종자들이혈맹이라고 조온나 빨아대는 미국놈들의 참모습이다""",Profanity
그 만큼 쳐 먹으니깐 살 찌는거다. 야식만 줄이면 빠지는데 ㅎ,Profanity
"""저 추악한 게씨레기세키 면상좀 안보게해주세요""",Profanity
"""질알도 질알도..아이그 아치들아""",Profanity
"""빙신짓 다하다가 괜히 굳은 면상으로..나가 다이해라""",Profanity
췡넘이 따로 읎다 ㅉㅉ 사내새끼가 문란하기 짝이 없누..,Profanity
강민혁 OOO네!OOO!넌 더할것같은데!지랄떨지마라,Profanity
"""퍼준다고 개ㅈㄹ떨던 노인들 인상된 기초연금으로 벌금내게 생겼노^^""",Profanity
이상민이 저걸 왜 사과해야되는지 모르겠다; 취재해 온 섹션제작진이 사과해야지 정작 제작진은 철판깔고 돌아다니고;; 섹션은 왜 폐지 안 하는지 모르겠네 우결이랑 같이 엠빙신적폐인가...,Profanity
개김치~~년 등장이네,Profanity
50넘어비노 ㅅㅂ 나도40이다,Profanity
"""웬만하면 살면서 욕 안하는데 이 매국노색히는 면상볼때마다 쌍욕나오네""",Profanity
백종원 존나싫다 ᆢ 요식업계 쓰래기,Profanity
ㅈㄴ 이기적이네 섹스도 하고싶고 가수도하고싶고 근데 어쩌냐~~~~ ㅈㄴ싫은데,Profanity
무도빠새끼들 웃기지도않는거 사람넣으면 뭘하냐고 말만 웃기지 조세호넣는다고 하니 티오 차서 정형돈 노홍철 복귀못할까봐 그거 안달내는 새끼들도 있고 이새끼들 하는짓이 더 웃김 무도빠 이새끼들은 웃음버섯쳐먹고 억지로 웃는게 분명함,Profanity
"""몸파는 년들이 쯧쯧!""",Profanity
"분명 악용하는것들이 나온다니깐. 그리고 그들때문에 진짜 위드유가 필요한 미투를 외쳐야할 사람이 나가리가 되는거고. 아니면 말고식으로 폭로하는 년들아, 진짜 실명까지 내걸어서 까지 객관성 확보하려면 심정이 어땠겠냐? 니들은 악마야 악마...",Profanity
"""잘 되니까 배아프지? 바꾼년탓해!""",Profanity
죠온나 부담스러운 스타일이다 저할매 아들 장가보내지말고 끼고 살지 민폐다,Profanity
법과 원칙대로 하고 있는대 왜 지랄들이여 ㅋㅋㅋㅋ,Profanity
무료공연하러온가수한테 덤탱이 진짜 주최한새키들 사기꾼 개 ㅅㅂ,Profanity
"""삼립빵박스에 표를 보관하는게 이상하지 않다고... ? 미친.쉐ㅡ이들""",Profanity
"""트럼프 이 백돼지새ㄱ기ㅅ시바알 새 기 내년안에 믹서에 갈려서훈제 소세지 되거라^^""",Profanity
"""여상규가 부릅니다~빙싱같은게~""",Profanity
또 시작이야?? 발전없는 색히들 ...,Profanity
"""이새끼들 총살만이 답이다 사람 죽여놓고 머리 조아리면 끝이냐 문딩이들아""",Profanity
ㅂㅅ,Profanity
"""이새끼들 너네 나라 남조선이나 걱정해라 남의 나라 일에 상관말고""",Profanity
일방적인 인터뷰 가지고 무슨 정상이 아니니 성폭행이니 ㅈㄹ들 하심?,Profanity
거 ssip ssae들 악플 존나 쳐 달고 있네~~,Profanity
김형남같은 사기꾼 개 새 끼도 사는데... 니가 뭔죄냐... 언능 들어온니라,Profanity
"""hjwh 진짜 이런 새기들이 있어서 개돼지 민족소리 듣지ㅋㅋ 머리는 데코냐 진짜ㅋㅋ""",Profanity
변호사 누군지 쌍판 궁금.저 새끼 쌍판 싸가진데 좋다고 나불대던 눈까리 삔것들 많았는데,Profanity
박경림은 좀 짜져라 인성 개 ㅊㄹ년,Profanity
애기태어나자마자 유전자검사하는놈한테 애기주면안돼요,Profanity
"""이뇬은 하는짓이 어느 대포집 잡부만도 못하뇬이다 하여간 생긴대로 논다""",Profanity
지랄도풍년이다,Profanity
이새끼 왜 처나대는거임?,Profanity
마동석이 아깝다고 하는 이유: 예정화가 씹관종이라서,Profanity
"""어휴...저 년..젖'통'보니 젖은 마니 나오겠네""",Profanity
판매글 ㅈㄴ성의없던데 사진도 제대로 안올려놓고,Profanity
"""노인 복지대책 욕하는 ㅅㄲ덜아 늙지말고 지금 뒈지셈 ㅋㅋ""",Profanity
아니 뭐 사진구도에 화장이면 딴 사람 되는건 순식간인데 이딴걸로 성형이니 어쩌니 ㅈㄹ들이냐 ㅂㅅ들 ㅋㄱㅋ,Profanity
야 니네 아빠도 엄마 어떻게 해볼라고 하다 너네 나온거다좃현이 너무 머라하지 마라,Profanity
ㅈㄹ... 실컷 쉬었다가 돈 벌라고 기어나와놓고 용기~~~~~~~~~~???,Profanity
성깔있는 년일세 ㅋㅋㅋ,Profanity
방송에서 엄창이나 찍는년을 무슨 심사위원이라그 앉혀놨냐 ㅋㅋㅋ,Profanity
감스트보는새끼들은 아이돌빠순이랑 비슷한 수준이네,Profanity
진심 부부예능 엄마예능 아빠예능 애들예능 다 합치면 몇개냐 18 볼게 없어,Profanity
동생이 말안들으면 한대 줘팰수도있고 조터질수도 있지 남자새끼들이 ㅋㅋ,Profanity
그럼 식샤 보지말아 말들은 ㅈㄴ많아요아주ㅋㅋㅋㅋㅋㅋ,Profanity
ㄷㄹ운년,Profanity
됐고 너도 아웃이다이 ss년아 서방 잘못 만난죄라 생각해라.모르긴 개뿔. 어디서 사기를 쳐,Profanity
이게 뒤태냐 ??목태지....... 어떤노무 쉐끼여 ??..........,Profanity
"""북에 갔다온 림수경이도 비례로 국회의원 만든 니들은 🐶🕊끼지?""",Profanity
수퍼비 벌@래사@끼땜에 개노잼,Profanity
나라 망신 시키는 나쁜뇬 인스타 댓글도 막아놨어 ㅋ,Profanity
저 집 사람들 생긴대로 놀구있다 진짜 출연료 다 받아놓고 뭔ㅈㄹ? 다시는 방송에서 보지말자,Profanity
딱봐도 왜죽었는지알거같다 ㅈㄴ 싸가지없게 손님대하니까그렇지 그기분내가잘암,Profanity
더럽다 왜 한국에서 우익년들이 뽑아달라고 설치고있냐 엠넷 보자보자하니까 막 나가네ㅠ아이돌학교보다 더한 무관심 기~대~해~,Profanity
이냔 신상좀 털어주삼~,Profanity
글계시한 년이 가해자라는데?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Profanity
남자새끼,Profanity
"대한항공은 딸년이 아빠회사 안드로메다로 날릴 준비하고 흥국이는 마누라가 확인 사살을 하고야 마는데. . 근혜는 순실이랑 나라곳간 삥뜯다 걸리고, ㅋㅋ 잘 들 돌아간다",Profanity
"""붱신개돼지들 겁나많네""",Profanity
"""개인공간을 벗어날수있다? 이씨ㅂㅇㅁ뒤ㅈ새ㄲ가 전염병을 그냥 풀어놓겠단거네?""",Profanity
잘가.이년아.싸구려,Profanity
