{술집 가면 남자들이 자꾸 들러붙어서 귀찮아;;|한번 따먹으려고 남자들이 이쁘다 이쁘다하니까 진짜 이쁜줄알고 설치네|헌팅포차 가본적도 없는 와꾸 터진 오징어가 왜 깝치냐|넌 주구장창 헌팅포차만 가는데 헌팅은 못하고 아빠뻘 아저씨가 함 대달라고 할 와꾸인데?}
"{할아버지 한의사가 20대 여성 간호조무사 엉덩이를 만졌대.|심지어 우리나라에서 엄청 유명한 한의사라고 하던데.|이제 우리나라에서 믿을 의사는 없는 것 같아.|야, 한남충들은 다 잠재적 성범죄자들로 간주해야 함 ㅋㅋㅋ|남자 의사 중에 정상적인 인간을 찾는 게 더 힘들 듯.}"
{왜 빨간불인데 그냥 가는거야?|그러게 위험할거 같은데|눈알은 면상에 장식으로 달아놨냐?}
{대머리도 결혼 하네?|신부는 엄청 예쁜데요?|신랑이 아예 머리털이 없는데|돈이 엄청 많나봐요.|와 몸매 봐라 진짜 늘씬하구만|예쁜 여자 찾아봅시다. 저희도 소개해 달라하게.|쭉쭉빵빵하고 글래머 여성분들이 많으시네.}
"{길거리에 전도하는 사람이 많더라|불쾌한 예수쟁이들은 왜 아무한테나 들이대는 거야?|하긴, 다들 정신병 걸려서 자기가 뭐하는지도 이해 못하겠지}"
{저렇게 열폭하는 애들은 지들 형편이 구리다는건 생각을 안하나봐|내말이 열폭한다는거 자체가 그냥 찌질한거 입증하는건데 말이야|자기 삶이 궁핍하니까 남의 삶도 그러길 바라는 양심없는 것들인거지}
{딸배들 횡단보도로 오토바이 타고 건널 때마다 죽이고 싶어|쇠파이프를 항상 소지하고 다니도록해|그럴 때마다 쇠파이프 꺼내서 머리 깨가지고 순두부찌개 만들어버려}
{틱톡 너무 재밌다|그게 재밌냐? 난 별로던데|응 너무 재밌는데 너도 해봐|난 그런 잼민이 같은거 안해|이게 얼마나 인기 많은데 뭔 소리래}
{저런 수술을 허가 없이 했다니 너무 충격적이다.|돈 되니까 했을 테니 의사가 아니라 장사꾼이지.|저게 의사면 사형감임.}
{둘이 편먹고 하나 매장 시켰네.|그럼 저 둘이서 하나를 왕따시킨거였다고?}
{여자들 본인 머리 커보인다고 남자 머리 작은건 별로래|근데 머리 큰것도 싫어함|정신나간련들 뭐 어쩌라는거야}
{쟤는 실력도 없고 멍청한데 어떻게 이 학교에 들어왔지?|부모가 돈이 많거나 교수한테 몸 팔아서 온 게 확실함|쪽바리나 하는 짓을 하고 들어온 거면 진짜 죽어야 하는 거 아니냐}
{요새 여자들은 옷을 왜 그렇게 입고 다니냐?|저렇게 입고다니니깐 범죄나 유발하고 그런는거야|범죄가 발생하는게 왜 여자탓이에요|범죄를 저지른 남자가 잘못이지|그렇게 옷을 입고다니는데 건강한 남자가 안덮치는게 이상한거지|부장님 진짜 말씀이 어이가 없네요}
{잘가라. 즐거웠어|너 땜에 얼마나 많이 걸었는데. 힘들어 죽을 뻔 했는데. 너만 좋으면 다야?}
"{너는 싫어하는 음식 있어?|나 토마토, 가지, 당근, ㅇ양파, 파 등등인데 더 많긴 해|이거 완전 개복치였네|그냥 육식주의자라 해}"
{이번에 담뱃값 인상했는데도 담배 필 사람은 피더라|난 흡연자들 입에서 똥내 너무 나서 대화하기가 싫더라|그냥 흡연자들 가족 간접흡연으로 전부다 폐암 걸려봐야 정신차리지}
{여윽시 대한민국 이대남들의 희망 갓준석!|ㅋㅋ 예상을 어떻게 이렇게 빗나가질 않냐 공정과 정의의 대한민국 보여주네|있는 것도 없으면서 입만 털 때부터 알아 봤다 준석아 이제 내려가라}
{왜 맨날 나한테만 뭐라고해?|너는 하는짓은 오지게 답답한데 아랫도리는 왜그렇게 허벌창이 났냐|또 이러네..}
{야 전학온 애 어때?|착하고 좋던데|아니 성격말고 빨통 크던데 따먹기 쉬워보이냐고}
{17년된 복도식 아파트값이 10억이 말이 되냐|애초에 집값 잡을 생각따윈 없었던 거 같음|내년엔 그냥 국힘당 찍는다}
{오늘 제가 박보검씨 닮았다는 소릴 들었어요~|님 허언증말기심?|박보검이 아니라 밥버거겠지}
{일반인K 영상 봤음?|ㅇㅇ 와 진짜 허리 겁나 잘 흔들어|남자들이 벌써 엄청 따먹었겠지?|앞뒤로 넣고 흔들어줘야 되는데|니가 앞으로 가라 ㅎㅎ 나는 뒤에서 겁나 박을테니까 ㅎㅎ}
{요즘 기자들이 꼴페미라 페미들 편드는 정신나간 기사들만 너무 많이 내더라|선동 당하는 사람도 많다더라?|정말 한심하더라.|너는 해결방안이 떠오르는게 있어?|나는 단순하게 남자랑 여자랑 서로 존중하고 양보하면 된다 생각하거든.}
{불륜드라마가 이렇게 인기 있을 일이야?|이딴 쓰레기 같은 내용을 공중파에 내보내다니 한심하다}
{아 내일 봉사 간다|그런거 왜 해?|ㄹㅇ 시간낭비에 쓸모 없는 짓ㅋㅋ}
{진짜 국뽕도 적당히해라|다른나라 까내리면서까지 지나친 국뽕은 안좋은거야|엄마가 혹시 매국노이심?|그건 니네 엄마겠지ㅋㅋㅋ}
{어제 대학로에서 술 취한 여자를 봤거든?|야 요새 여자들 손끝만 스쳐도 성추행으로 신고한대|신고하면 명치 갈기고 끌고 가서 매운 맛 보여줬지 내가 ㅋㅋ}
{너는 니 소세지 좀 키우는 수술 받아야겠다 그렇게 해서 여자들 만족 시킬 수는 있겠냐?ㅋㅋ 겁나 작아 그냥 비엔나 소세지인데?|그럼 너는 얼마나 크길래 그렇게 말하냐?|내꺼는 엄청 크지ㅎㅎ}
{틀니딱딱충들은 왜 이리 예의가 없냐.|틀니들 예의 운운하면서 지들이 가장 없긴 하지.|그냥 피하는 게 가장 좋은 듯.}
{난 버스에서 옆에 남자 앉으면 싫더라|왜 싫어? 난 아무 상관없는데|한남충들 김치냄새 오지게 나서 짜증 나}
{야 너네 집은 무슨 대장간이냐 삼시3끼를 다 그런 뭉툭한 고기를 썰어 먹냐?|우리 집만 그런 건지 몰랐네~|아니 무슨 조상 중에 고기 못 먹어서 억울하게 뒤진 사람 있냐?|그딴 패드립 치는 꼬라지 보니 니네 집 조상은 어디 모자란 집 출신이었나보다?|니 뭐랬냐 지금?}
{평소에 이상한 사진 보면서 자위행위 하는 애들 보면 어떻게 생각해 ?|인생 루저 들이나 그렇게 이상한거 보면서 하는거지 찐따도 아니고 왜 저렇게 사는거냐 ㅋㅋㅋ|너가 그렇게 하는 행동 아니였어 ? ㅋㅋㅋ 아닌척 하지말아봐}
"{으, 오늘 갑자기 허리가 아파|어제 남친이랑 얼마나 해댔길래 허리가 아플까?|그딴 소릴 하냐? 죽여버리고 싶게}"
{아 층간소음 너무 심한데?|안 그래도 윗집 애들 머가리 깨려고 대기 중임|부모가 교육을 어떻게 시켰길래 종일 설치는지 몰라}
{야 너 카톡 계정 주기로 한 거 기억하지?|아... 근데 나 안 주면 안 될까?|뒤지고 싶으면 그렇게 해 아주 죽여버릴라니까}
{나이먹으니까 절실히 깨닫게 됨|ㅋㅋㅋ 살면서 하는 것 중에 생산적인게 하나도 없네|리얼 산소가 아까움 걍 졸도로 뒤졌으면 제발}
{우리나라는 왜 클래식 대가가 없지?|후진국이니까 없지 돈을 어디서 후원해주냐?|우리나라는 뜰려면 몸파는 스폰 밖에 답이 없음}
"{가식없는 척 하려고 오바하는 것 같아서 보기 불편함|인정 과하게 솔직한 이미지 보여주려는 것 같아서 거북해|머리 없는 게 살려고 기 쓰는데, 좀 봐줘라.}"
{꼴페미랑 페미니스트랑 뭐가 다른거임?? 뭐가 좋은거고 뭐가 안좋은거야?|ㅋㅋ페미는 뭔짓을 헤도 페미지ㅋㅋ꼴페미는 적폐고 페미는 그냥 뭐 쓰레기정도 ?|근데 그런건 왜 하냐는거냐? 난 공부하고 알바하고 바빠서 그런거 관심도 안가지게되던데|내말이 그거다 이기야 십알련들~ 페미는 정신병이고 메갈이 공식이니깐 걍 조닥하고 외워라}
{네팔 구르카 용병이 최강이지|현실은 어차피 외노자 고기방패야|너같은 애들이 머리에 총알 세 발쯤 박혀봐야 아차 하겠지}
{운동하면 옷도 관심 많아지고 머리도 신경쓰고 운동이 만병통치약이야|근데 찐따들이 운동하면 더 보기 싫어}
"{할로윈 이라고 다들 분장하고 거리에 나왔나봐|사람 이렇게 많을줄 몰랐다, 나도 분장할걸!|저런 옷 입으면 안 춥나? 넘 짧은데 ㅠ|저런 냔들은 저렇게 입고 남자랑 뒹굴려고 그런거 아님?}"
{올해 신입생 와꾸 전부 개빻았다|진심 따먹고 싶은 와꾸가 없어서 술맛 떨어짐|그래도 입구 쪽에 앉은 애는 가슴 개크던데 술 먹여서 취하면 함 만져야지 ㅋㅋ}
{넌 공부 머리가 없으니 그냥 인생 포기하고 살아|너같은 사람이 나중에 사회 나가면 기생충으로 살겠지|말이면 다인줄 알아?}
{얘 성형했냐??|뭔가 19살이 40대 돌싱 느낌 나는데 ㅋㅋㅋ|요새 40대 돌싱도 쟤보단 낫다.}
{저 여자 예쁜데 넌 왜 안 좋아함?|성괴 티 나니까 그렇지.|손 대서라도 예쁜 게 낫지 않음?|게다가 예쁜 년들은 남잘 바보로 알거든.}
{어떤 남성이 만취여성 막무가내로 만지려다 혀가 짤렸다네.|다른 곳도 다 잘려야 정신차릴텐데.}
{무료급식소에 사람 개떼 같이 많네|12시만 되면 복작복작 시장판 같아|흙수저는 흙이나 퍼먹으면서 살지}
{시끄러워 음악 꺼|싫어 꼬우면 나가|이기적인자식구나}
{야~ 너 왜 이렇게 오랜만이야|그러네 우리 만난지 거진 2년은 된 듯!|와 난 니 독거노인처럼 고독사라도 한 줄}
{주한미군 철수하면 우리도 아프간 꼴나겠지.|정신이 혼란하냐? 병들었으면 병원이나 가라.|맞는 말이구만. 좌좀 놈들 돼지한테 충성맹세하겠지}
{니그로가 어딜 가르치려고 드는지.|깜둥이는 목화밭이 어울려.|한국에 대해서 자기가 뭘 안다고 저런 소리를 하는지.}
{너는 학교 다닐 때 맨날 모자 쓰고 다니더라? 왜 그래?|뭐가 어때서 불만 있음? 남이 뭘 하든 뭔 상관이야?|그냥 궁금해서 물어보는 거잖아 왜 그래|왜 물어보냐고... 오지랖 줄라 넓네 네 인생이나 신경 써 상련아}
{아니 나는 친구들이랑 있는데 남자친구랑 계속 연락하는 애들 이해 안가|맞아 왜 우리 만나러 오는 거임?|섭섭하다고 말하면 남자친구 없어서 그러는 거냐는 이상한 소리만 함|아니 자기들 남자친구 같은 사람 만날 바에는 그냥 평생 혼자 사는 게 나을 듯..? 착각 멍 지려}
{사투리 좀 안쓰면 안돼?|내 사투리가 어때서?|시골 촌놈같이 보여서 같이 다니기 쪽팔려|사투리쓰면 다 시골사람이냐?|촌놈들은 뭘 해도 티가 나}
{집에만 오면 피곤해서 아무것도 못하겠다|그냥 자면 되잔아|마누라 욕구 관리 안해주면 바람나;;}
{게임에 돈 쓰지 마라|밖에 나와서 살아있는 현실에 써라|캐릭터 옷 입히지 말고 나한테 투자해야지|현실에서 결혼 가능하냐?|안경 돼지 찌질이들은 게임 속에서만 연애가 가능해}
